"gid","name","status","geom","len"
2958,"дорога №2958",True,"0105000020E610000001000000010200000023000000BB134779411A47403F62AA4F28534E4099CD8877251A4740C2D4E0C7E2524E403C58B55A161A4740F99C60A4BC524E4086A6913B111A4740B196F1A5A6524E4077F123230C1A4740C2DEC4909C524E4051AD742D101A4740F2DE628F9A524E40372BECB3141A4740B7E0568B99524E401A21F24C1E1A4740342A15F99A524E4072970EE72B1A4740A93A9AD99D524E409E454A0E331A4740EA23F0879F524E40A146C60F3A1A474090060143A0524E402F8E2507471A4740C07630629F524E403554D680521A4740D9AAC9F89C524E409AEE75525F1A47402A60F18A96524E4051E3946F6C1A47403FC91D3691524E4010F747CE781A47400B3895568D524E40A5AB2AEA821A4740AE8383BD89524E4021EFB0E4851A4740856C6AEA86524E40C0081A33891A47407719598D80524E40B354281C8B1A4740F7240BF379524E40D7169E978A1A4740345D990178524E40CCD07822881A47404CD3B19476524E40D4B3C5DA841A4740E9D1F99573524E40AB686270831A474002C4133070524E40C9DD3186831A4740E09D7C7A6C524E40D4B3C5DA841A474007729A4F67524E408C01C8BF851A47406DE7566364524E40D393E81B871A4740D4E649E361524E404D5B6D0F8C1A4740D6F8F13C5D524E4087AF65E88E1A474031A64F615B524E40F279C5538F1A4740556EFD4F59524E40889BF80F8E1A474033B8F7BA56524E40A36B706C871A4740598C159051524E401F64FE767E1A47403267C7574C524E40D72F7D54681A47407EEF254344524E40",NULL
2959,"дорога №2959",True,"0105000020E610000001000000010200000033000000D5264EEE77284740E7CD97CDD2514E406661F481892847402663C625D8514E40628ED4319D2847404BBE2374E1514E40D7AC8E77A2284740AD0F90D4E7514E40F881F5C99B284740EE4916E6F3514E40847DE0CF952847409C5DADC909524E40677B99CD88284740B7C94D7919524E40A4349BC7612847404C169C6626524E40B9533A58FF27474080D6FCF84B524E40A663CE33F6274740162FBBCC55524E40F3EFE9A0012847406D18AA0771524E4053D048DFFF274740FFBFA03B77524E400FA03AB1E227474026C0554387524E400083EEDCC52747404B1BB39190524E400755B4835B2747409023E70EAC524E40AF1A95E5352747404CDAF923B1524E4066FDC11B2D274740F168E388B5524E4030D05A762D274740B372D476B8524E40D0EFFB372F274740DF20109EBF524E40231FAADF3B274740420B64D1CF524E40E04092A34A274740ED9F02BBF5524E40532B0252512747404C6C3EAE0D534E40FC28345A582747404CFFED0D19534E4045AADED04A2747404D929D6D24534E40751A0EF049274740C505FB0A2D534E405E57827B54274740032269DC40534E40153AAFB14B27474094C95F1047534E402821FD9BBC264740AA9E27F96C534E405422E417B9264740B526CC6A70534E40293BA2E7BB2647402EA0617B77534E4085628621CD2647402D27A1F485534E40947FD2F5E9264740AFB552639D534E405B99F04BFD2647408B8054D4AA534E40F2F8AC21272747400BF72576C8534E4044F4103235274740EF4394E5DA534E402D3185BD3F274740578C0464F9534E400FE14ED8342747408F84228216544E40D4168D6B322747400E4867052B544E40E3E2A8DC44274740026729594E544E40C5CC9948C4274740369A12FF66544E4054EAED2AFF274740E93F10C589544E40FA17F7D50B28474039C42E4091544E40AEA305C3142847408CCE43B7A8544E403748D27F20284740A43FEA65CA544E407665BC523B284740C21C9837E2544E4008E9297288284740ED516E916A554E40A93F0CBE7A28474050BE45CC91554E407E58CA8D7D28474053F30B6597554E40D40FEA22852847404C58761C9A554E404F5DF92CCF284740126C5CFFAE554E40EE540ACBE928474033EE17FDB2554E40",NULL
3029,"дорога №3029",True,"0105000020E61000000100000001020000000200000060F18A96F226474002B04B9EFC324E400497225404274740132FAAA0FD324E40",NULL
3030,"дорога №3030",False,"0105000020E6100000010000000102000000020000006F96372CB22647406F72AE17F9324E4060F18A96F226474002B04B9EFC324E40",NULL
3031,"дорога №3031",True,"0105000020E6100000010000000102000000020000005CDDFB6541234740B51B7DCC072D4E4034AF343A3123474024DF5B470B2D4E40",NULL
3032,"дорога №3032",False,"0105000020E6100000010000000102000000090000006F96372CB22647406F72AE17F9324E401904B1C79F2647402B515150E5324E40139A2496942647407353B93FCD324E40F62E39494E26474038D32934B5324E408CF678211D264740949D2397A4324E408A5B0531D0254740F81164A99A324E40875341A08E254740DA965C209C324E40B00C6080332547401BE54F0AA9324E406E2CCD52572447400E4350DAC0324E40",NULL
3033,"дорога №3033",True,"0105000020E61000000100000001020000000E00000034AF343A3123474024DF5B470B2D4E40714A8AD9DC224740EA268CC11E2D4E404A021E62CD224740DC3818A0232D4E40CC05D3D5C22247408F06A6892D2D4E4062F9F36DC122474025CFF57D382D4E4062F9F36DC122474022646A5C492D4E40CCEB2D8AC3224740C4E0AB67522D4E402308A1CDBB2247407E74EACA672D4E4087BB1F5CA622474091E6D9F6872D4E409FB2F5679A224740878D0D38A62D4E403AAD80E7832247409C397F6EC32D4E40B2B7393A53224740A0A124C9182E4E407FA2B2614D2247402260634D1B2E4E4078BA4E7EE62147401D098F91472E4E40",NULL
3034,"дорога №3034",True,"0105000020E6100000010000000102000000140000000497225404274740132FAAA0FD324E401DFA939D23274740957D5704FF324E401E32E5435027474073DBBE47FD324E40766C04E275274740FD4003FBF9324E40509033A8912747406504AFF1F4324E4034C63D4CB1274740D5DEF137EB324E40C22DC48FD6274740A8DF85ADD9324E40C752DAD1EE274740671591BCCE324E40376A2A3009284740E71D02A2BB324E409D8944FC1E284740EF117BB2AC324E404B2A093F27284740800C1D3BA8324E404CE0D6DD3C2847404561BC8B9C324E40985D41E43E2847401096B1A19B324E4069FCC22B492847403C2707FD96324E4090F63FC05A2847407494282092324E40FEC0B057B32847406220BE0287324E402ECD08CAC8284740F1225D7D86324E40B8FD97101829474002E43A7C88324E40627A0CA02929474043ED6DE987324E407CDA3C693C2947406811402086324E40",NULL
3035,"дорога №3035",True,"0105000020E61000000100000001020000001500000020EEEA55641247403961C26856634E404CA4D9E15412474037B176CA59634E40BDCC0B0B49124740CD6559E663634E409D84D21742124740E09744076E634E4065671BC92F12474042B3EBDE8A634E40E8EF4A372E124740D5D6E3198F634E405A7D1A9C2D124740A35A441493634E40299721E92E1247408FC93DB896634E40B7E974C53112474022D9C81A9A634E400AA9914C3D124740FAF202ECA3634E402D2059654B124740D1F8CFE4AC634E409E5DBEF561124740DD4DA6C0B8634E4019A7C6F07D1247408E379E74C7634E4097AC8A70931247404D7F9B6AD2634E40A633E66498124740BC56E7BDD6634E4099373DDE9A124740131A7739DB634E4093324EE89A1247400BDB0539DE634E40345E5F90991247405DE795A1E0634E40000F56AD9612474003965CC5E2634E40C24B1531911247406D9C03BAE5634E403D72B55F88124740725303CDE7634E40",NULL
3037,"дорога №3037",True,"0105000020E610000001000000010200000023000000ADDFA7058A0247406A4BC22A835D4E40602D2DD967024740AFEE586C935D4E40DDF75E3244024740EED4B727A35D4E40BFD53A7139024740FE33396BA65D4E40073D409C2C024740BB80F2D2A85D4E40157E5F121D02474002B7EEE6A95D4E401398F331C401474079CDAB3AAB5D4E40A725B1FF950147402AB4626EAD5D4E403C91161D7F014740E3079DC6AC5D4E407AE6406A6E0147408AA82E85AC5D4E4066005E55AC004740B91AD995965D4E4091E6D9F68700474085E574FE925D4E40DDBC27C57D004740381A1B15935D4E40F02A10E26F00474009CAC8B4915D4E40FE0F0B106000474040E9FAF48E5D4E40594E42E90B00474098C3EE3B865D4E40F8D4FBD703004740B03907CF845D4E408461C092ABFF4640F52C08E57D5D4E40E339B6F9DAFE464035BCB43C6A5D4E40ABF8D04F82FE46405122D3EB605D4E404337A04A72FE4640886F17505E5D4E40813FFCFCF7FD4640FA5289FC445D4E40EC110FCDE1FD4640F06EC042415D4E409EC431DCCAFD4640156580553F5D4E40CF47BEB78EFD4640036A204C405D4E402F7480BB47FD4640419479F53B5D4E40942AF63C24FD464021F01BBA345D4E402CBC26FFEEFC4640CFF9298E035D4E40C297D3AFBEFC4640865AD3BCE35C4E40BF49D3A068FC4640E37D665AAC5C4E40A006C20424FC46409F05A1BC8F5C4E401B2C9CA4F9FB46407B6EFCE4835C4E40B4A61E0EB7FB46404C4D277E315C4E4083386AE0A2FB464028B682A6255C4E404A247612B6FB4640932C712E0F5C4E40",NULL
